"","MP1","MP2","MP3","MP4","MP5","MP6","MP7","MP8","MP9","MP10"
"1",NA,NA,NA,NA,NA,"ARL5A",NA,"AL355881.1",NA,NA
"2",NA,NA,NA,NA,NA,"RAD23B",NA,"CLNK",NA,NA
"3",NA,NA,NA,NA,NA,"IFITM3",NA,"PLPP1",NA,NA
